file_name,page_count,file_type
NCT02000583,31,pdf
NCT02001051,69,pdf
NCT02005627,11,pdf
NCT02008149,79,pdf
NCT02008396,22,pdf
NCT02013778,41,pdf
NCT02014740,11,pdf
NCT02015065,5,pdf
NCT02015104,15,pdf
NCT02016781,106,pdf
NCT02018367,1,pdf
NCT02019693,17,pdf
NCT02019888,2,pdf
NCT02021669,22,pdf
NCT02022033,49,pdf
NCT02022111,6,pdf
NCT02022644,12,pdf
NCT02023983,7,pdf
NCT02029872,18,pdf
NCT02029937,8,pdf
NCT02030002,3,pdf
NCT02030015,9,pdf
NCT02030028,12,pdf
NCT02031536,15,pdf
NCT02031978,4,pdf
NCT02033993,18,pdf
NCT02034474,2,pdf
NCT02035137,122,pdf
NCT02037048,16,pdf
NCT02037568,23,pdf
NCT02037620,46,pdf
NCT02037945,8,pdf
NCT02038153,17,pdf
NCT02038179,100,pdf
NCT02044510,6,pdf
NCT02044796,48,pdf
NCT02044991,7,pdf
NCT02046122,13,pdf
NCT02046135,10,pdf
NCT02049307,50,pdf
NCT02050347,14,pdf
NCT02051933,7,pdf
NCT02053246,13,pdf
NCT02053285,7,pdf
NCT02053350,17,pdf
NCT02054104,13,pdf
NCT02054741,10,pdf
NCT02056340,4,pdf
NCT02056626,8,pdf
NCT02057640,105,pdf
NCT02057952,3,pdf
NCT02058693,10,pdf
NCT02058849,11,pdf
NCT02059005,7,pdf
NCT02061280,3,pdf
NCT02061384,8,pdf
NCT02061397,19,pdf
NCT02063828,8,pdf
NCT02064270,8,pdf
NCT02064296,16,pdf
NCT02064582,16,pdf
NCT02065154,12,pdf
NCT02065362,22,pdf
NCT02065609,48,pdf
NCT02068612,7,pdf
NCT02071901,16,pdf
NCT02073097,20,pdf
NCT02075203,15,pdf
NCT02075502,11,pdf
NCT02076022,15,pdf
NCT02076152,15,pdf
NCT02076165,23,pdf
NCT02077959,18,pdf
NCT02078817,34,pdf
NCT02078882,11,pdf
NCT02080221,57,pdf
NCT02081248,7,pdf
NCT02081638,8,pdf
NCT02083081,7,pdf
NCT02085070,56,pdf
NCT02088554,10,pdf
NCT02088775,13,pdf
NCT02089230,88,pdf
NCT02090998,8,pdf
NCT02095145,70,pdf
NCT02095678,9,pdf
NCT02096952,17,pdf
NCT02098356,7,pdf
NCT02098876,7,pdf
NCT02099097,9,pdf
NCT02100956,14,pdf
NCT02101736,17,pdf
NCT02102802,8,pdf
NCT02103270,2,pdf
NCT02109744,14,pdf
NCT02110485,8,pdf
NCT02111057,73,pdf
NCT02111798,10,pdf
NCT02111850,16,pdf
NCT02113956,3,pdf
NCT02120365,15,pdf
NCT02121158,255,pdf
NCT02121756,12,pdf
NCT02123797,12,pdf
NCT02124512,11,pdf
NCT02126579,27,pdf
NCT02126969,14,pdf
NCT02128763,101,pdf
NCT02130687,32,pdf
NCT02130986,29,pdf
NCT02135419,29,pdf
NCT02136680,8,pdf
NCT02137759,21,pdf
NCT02137837,101,pdf
NCT02137902,9,pdf
NCT02138448,2,pdf
NCT02140775,4,pdf
NCT02141490,9,pdf
NCT02143063,8,pdf
NCT02143102,6,pdf
NCT02146131,6,pdf
NCT02148263,12,pdf
NCT02149810,7,pdf
NCT02152540,10,pdf
NCT02153710,7,pdf
NCT02153905,16,pdf
NCT02153918,82,pdf
NCT02153983,88,pdf
NCT02154490,34,pdf
NCT02155608,11,pdf
NCT02155712,263,pdf
NCT02155725,15,pdf
NCT02155829,11,pdf
NCT02155920,18,pdf
NCT02155946,14,pdf
NCT02157610,11,pdf
NCT02157779,6,pdf
NCT02158806,6,pdf
NCT02158884,68,pdf
NCT02159157,12,pdf
NCT02160288,15,pdf
NCT02160730,4,pdf
NCT02161211,8,pdf
NCT02161705,56,pdf
NCT02162433,1,pdf
NCT02162992,9,pdf
NCT02163317,14,pdf
NCT02164916,166,pdf
NCT02165839,38,pdf
NCT02168062,15,pdf
NCT02169271,66,pdf
NCT02169791,20,pdf
NCT02172820,3,pdf
NCT02175030,10,pdf
NCT02175628,8,pdf
NCT02176226,7,pdf
NCT02177695,113,pdf
NCT02177773,9,pdf
NCT02177838,16,pdf
NCT02178345,8,pdf
NCT02179086,15,pdf
NCT02179515,13,pdf
NCT02179749,10,pdf
NCT02180672,16,pdf
NCT02182999,5,pdf
NCT02184455,52,pdf
NCT02184533,25,pdf
NCT02185417,6,pdf
NCT02186015,9,pdf
NCT02186600,13,pdf
NCT02186847,13,pdf
NCT02188459,14,pdf
NCT02189031,8,pdf
NCT02190097,9,pdf
NCT02190279,11,pdf
NCT02192541,94,pdf
NCT02192827,8,pdf
NCT02196038,11,pdf
NCT02197845,10,pdf
NCT02197897,38,pdf
NCT02201277,5,pdf
NCT02201628,1,pdf
NCT02203513,16,pdf
NCT02203604,43,pdf
NCT02204709,7,pdf
NCT02206035,17,pdf
NCT02206152,5,pdf
NCT02207556,12,pdf
NCT02209545,7,pdf
NCT02212379,18,pdf
NCT02212574,16,pdf
NCT02213068,13,pdf
NCT02213328,30,pdf
NCT02215200,14,pdf
NCT02215967,17,pdf
NCT02219815,7,pdf
NCT02221219,15,pdf
NCT02222337,78,pdf
NCT02223858,8,pdf
NCT02224599,18,pdf
NCT02225106,74,pdf
NCT02227446,7,pdf
NCT02231879,11,pdf
NCT02232074,34,pdf
NCT02232152,14,pdf
NCT02232243,17,pdf
NCT02233088,4,pdf
NCT02233517,11,pdf
NCT02236481,3,pdf
NCT02237417,15,pdf
NCT02238977,15,pdf
NCT02239328,8,pdf
NCT02239601,8,pdf
NCT02240485,18,pdf
NCT02243631,7,pdf
NCT02247336,7,pdf
NCT02247440,41,pdf
NCT02248597,8,pdf
NCT02248688,9,pdf
NCT02248701,16,pdf
NCT02249793,75,pdf
NCT02249819,12,pdf
NCT02249832,11,pdf
NCT02250300,16,pdf
NCT02252588,11,pdf
NCT02253368,6,pdf
NCT02253433,4,pdf
NCT02254278,14,pdf
NCT02255331,22,pdf
NCT02255461,91,pdf
NCT02255474,9,pdf
NCT02255838,8,pdf
NCT02256696,16,pdf
NCT02257242,80,pdf
NCT02257580,18,pdf
NCT02258074,19,pdf
NCT02259413,6,pdf
NCT02259582,135,pdf
NCT02261961,9,pdf
NCT02262026,14,pdf
NCT02262507,6,pdf
NCT02263326,46,pdf
NCT02264665,172,pdf
NCT02264860,14,pdf
NCT02266134,8,pdf
NCT02266875,9,pdf
NCT02266914,6,pdf
NCT02267187,16,pdf
NCT02269124,11,pdf
NCT02269397,12,pdf
NCT02269670,13,pdf
NCT02270450,57,pdf
NCT02275559,7,pdf
NCT02275819,18,pdf
NCT02276963,11,pdf
NCT02278562,8,pdf
NCT02278952,5,pdf
NCT02279290,10,pdf
NCT02279394,27,pdf
NCT02280304,23,pdf
NCT02280317,17,pdf
NCT02282904,12,pdf
NCT02284542,10,pdf
NCT02286167,15,pdf
NCT02287675,12,pdf
NCT02287883,3,pdf
NCT02289898,130,pdf
NCT02290223,1,pdf
NCT02290444,9,pdf
NCT02291133,26,pdf
NCT02292082,31,pdf
NCT02293499,21,pdf
NCT02297607,11,pdf
NCT02298946,15,pdf
NCT02301403,8,pdf
NCT02301767,12,pdf
NCT02304159,14,pdf
NCT02304432,24,pdf
NCT02306122,10,pdf
NCT02308228,14,pdf
NCT02311361,17,pdf
NCT02312310,3,pdf
NCT02312622,17,pdf
NCT02314156,72,pdf
NCT02314624,26,pdf
NCT02315196,17,pdf
NCT02315625,19,pdf
NCT02315690,138,pdf
NCT02320123,10,pdf
NCT02322190,15,pdf
NCT02323295,20,pdf
NCT02324153,10,pdf
NCT02325401,12,pdf
NCT02326363,9,pdf
NCT02326467,9,pdf
NCT02326805,49,pdf
NCT02326844,94,pdf
NCT02327377,5,pdf
NCT02328105,16,pdf
NCT02331095,9,pdf
NCT02331134,55,pdf
NCT02331394,10,pdf
NCT02332187,56,pdf
NCT02332239,25,pdf
NCT02332291,14,pdf
NCT02332863,10,pdf
NCT02332928,13,pdf
NCT02333604,3,pdf
NCT02335099,11,pdf
NCT02337465,5,pdf
NCT02338193,30,pdf
NCT02339233,38,pdf
NCT02339415,86,pdf
NCT02340000,8,pdf
NCT02342639,27,pdf
NCT02343302,7,pdf
NCT02343549,19,pdf
NCT02344108,21,pdf
NCT02344290,17,pdf
NCT02344576,4,pdf
NCT02345850,141,pdf
NCT02346526,18,pdf
NCT02347124,63,pdf
NCT02347618,7,pdf
